100,1.16 
2022-12-01,106949711300259,1.83 
2022-12-02,102900005115878,1.73 
2022-12-02,102900005116530,8.33 
2022-12-02,102900005116714,3.27 
2022-12-02,102900005116837,13.99 
2022-12-02,102900005116899,3.91 
2022-12-02,102900005118817,5.00 
2022-12-02,102900005118831,1.98 
2022-12-02,102900005122654,1.88 
2022-12-02,102900011016701,2.11 
2022-12-02,102900011021842,7.00 
2022-12-02,102900011022849,0.89 
2022-12-02,102900011030059,1.76 
2022-12-02,102900011030097,1.75 
2022-12-02,102900011030134,0.66 
2022-12-02,102900011030141,1.21 
2022-12-02,102900011030912,2.66 
2022-12-02,102900011031100,1.10 
2022-12-02,102900011032022,0.75 
2022-12-02,102900011032237,0.85 
2022-12-02,102900011032244,3.10 
2022-12-02,102900011032251,1.24 
2022-12-02,102900011032848,1.20 
2022-12-02,102900011033906,0.40 
2022-12-02,102900011033920,1.50 
2022-12-02,102900011033944,2.63 
2022-12-02,102900011033982,0.02 
2022-12-02,102900011034026,1.30 
2022-12-02,102900011034224,0.90 
2022-12-02,102900011034231,0.96 
2022-12-02,102900011034330,3.47 
2022-12-02,102900011035078,7.00 
2022-12-02,102900011035771,3.06 
2022-12-02,102900011035788,2.04 
2022-12-02,106949711300259,1.98 
2022-12-03,102900005115878,2.01 
2022-12-03,102900005116257,3.91 
2022-12-03,102900005116530,8.09 
2022-12-03,102900005116714,3.21 
2022-12-03,102900005116899,3.91 
2022-12-03,102900005118817,5.00 
2022-12-03,102900005118831,2.07 
2022-12-03,102900011000328,4.07 
2022-12-03,102900011016701,3.30 
2022-12-03,102900011021842,7.00 
2022-12-03,102900011022849,0.90 
2022-12-03,102900011023464,3.60 
2022-12-03,102900011030059,1.68 
2022-12-03,102900011030097,1.75 
2022-12-03,102900011030134,0.70 
2022-12-03,102900011030141,1.24 
2022-12-03,102900011030912,2.32 
2022-12-03,102900011031100,1.15 
2022-12-03,102900011032022,0.97 
2022-12-03,102900011032237,0.91 
2022-12-03,102900011032251,1.24 
2022-12-03,102900011032848,1.20 
2022-12-03,102900011033920,1.50 
2022-12-03,102900011034026,1.33 
2022-12-03,102900011034224,0.90 
2022-12-03,102900011034231,0.97 
2022-12-03,102900011034330,3.48 
2022-12-03,102900011035078,7.00 
2022-12-03,102900011035771,3.06 
2022-12-03,102900011035788,2.05 
2022-12-03,106949711300259,2.13 
2022-12-04,102900005115878,2.44 
2022-12-04,102900005116257,3.61 
2022-12-04,102900005116714,4.05 
2022-12-04,102900005116899,3.90 
2022-12-04,102900005118817,3.60 
2022-12-04,102900005118831,2.04 
2022-12-04,102900011000328,4.07 
2022-12-04,102900011009970,0.11 
2022-12-04,102900011011669,4.18 
2022-12-04,102900011021842,7.00 
2022-12-04,102900011022849,0.91 
2022-12-04,102900011030059,1.68 
2022-12-04,102900011030097,1.82 
2022-12-04,102900011030134,0.58 
2022-12-04,102900011030141,1.24 
2022-12-04,102900011030912,2.30 
2022-12-04,102900011031100,1.15 
2022-12-04,102900011032022,0.77 
2022-12-04,102900011032237,0.87 
2022-12-04,102900011032251,1.27 
2022-12-04,102900011032848,1.20 
2022-12-04,102900011033920,1.69 
2022-12-04,102900011034026,1.35 
2022-12-04,102900011034231,0.84 
2022-12-04,102900011035078,6.42 
2022-12-04,102900011035771,3.06 
2022-12-04,102900011035788,2.02 
2022-12-04,106949711300259,2.20 
2022-12-05,102900005115878,2.24 
2022-12-05,102900005116530,13.60 
2022-12-05,102900005116837,5.33 
2022-12-05,102900005116899,3.90 
2022-12-05,102900005118817,3.60 
2022-12-05,102900005118831,2.07 
2022-12-05,102900011000328,3.89 
2022-12-05,102900011009970,0.09 
2022-12-05,102900011011669,4.18 
2022-12-05,102900011016701,1.85 
2022-12-05,102900011021842,7.01 
2022-12-05,102900011022849,0.90 
2022-12-05,102900011030059,1.68 
2022-12-05,102900011030097,1.82 
2022-12-05,102900011030141,1.15 
2022-12-05,102900011030912,2.31 
2022-12-05,102900011031100,1.18 
2022-12-05,102900011032022,0.71 
2022-12-05,102900011032213,1.11 
2022-12-05,102900011032237,0.74 
2022-12-05,102900011032251,1.06 
2022-12-05,102900011032848,1.20 
2022-12-05,102900011033920,1.70 
2022-12-05,102900011034026,1.47 
2022-12-05,102900011034224,1.04 
2022-12-05,102900011034231,0.96 
2022-12-05,102900011035078,5.63 
2022-12-05,102900011035771,3.06 
2022-12-05,102900011035788,1.62 
2022-12-05,106949711300259,2.20 
2022-12-06,102900005115878,2.24 
2022-12-06,102900005115960,0.17 
2022-12-06,102900005116257,4.61 
2022-12-06,102900005116530,9.83 
2022-12-06,102900005116714,4.16 
2022-12-06,102900005116790,1.42 
2022-12-06,102900005116837,6.04 
2022-12-06,102900005116899,3.91 
2022-12-06,102900005118817,3.60 
2022-12-06,102900005118831,2.07 
2022-12-06,102900005122654,3.25 
2022-12-06,102900011000328,3.45 
2022-12-06,102900011006948,0.10 
2022-12-06,102900011011669,2.69 
2022-12-06,102900011013274,4.72 
2022-12-06,102900011016701,1.85 
2022-12-06,102900011021842,7.00 
2022-12-06,102900011022849,1.08 
2022-12-06,102900011023464,4.40 
2022-12-06,102900011027479,3.26 
2022-12-06,102900011030059,1.95 
2022-12-06,102900011030097,1.90 
2022-12-06,102900011030141,0.78 
2022-12-06,102900011031100,1.13 
2022-12-06,102900011032022,0.60 
2022-12-06,102900011032213,1.11 
2022-12-06,102900011032251,0.18 
2022-12-06,102900011032848,1.20 
2022-12-06,102900011033920,1.70 
2022-12-06,102900011034026,1.53 
2022-12-06,102900011034231,1.71 
2022-12-06,102900011035078,5.63 
2022-12-06,102900011035771,3.06 
2022-12-06,106949711300259,2.47 
2022-12-07,102900005115878,2.18 
2022-12-07,102900005116257,4.87 
2022-12-07,102900005116509,6.46 
2022-12-07,102900005116530,9.20 
2022-12-07,102900005116714,4.32 
2022-12-07,102900005116790,1.42 
2022-12-07,102900005116837,6.27 
2022-12-07,102900005116899,3.88 
2022-12-07,102900005118817,3.60 
2022-12-07,102900005118831,2.07 
2022-12-07,102900011000328,3.46 
2022-12-07,102900011007044,2.58 
2022-12-07,102900011007464,7.89 
2022-12-07,102900011009277,3.26 
2022-12-07,102900011013274,4.72 
2022-12-07,102900011016701,1.78 
2022-12-07,102900011021842,7.00 
2022-12-07,102900011022849,1.32 
2022-12-07,102900011023464,4.55 
2022-12-07,102900011030059,2.04 
2022-12-07,102900011030097,1.92 
2022-12-07,102900011030134,0.58 
2022-12-07,102900011030141,0.82 
2022-12-07,102900011030912,2.31 
2022-12-07,102900011031100,1.12 
2022-12-07,102900011031216,4.43 
2022-12-07,102900011032022,0.62 
2022-12-07,102900011032367,10.24 
2022-12-07,102900011032848,1.20 
2022-12-07,102900011033906,0.55 
2022-12-07,102900011033920,1.70 
2022-12-07,102900011034026,1.61 
2022-12-07,102900011034231,1.99 
2022-12-07,102900011034330,3.44 
2022-12-07,106949711300259,2.70 
2022-12-08,102900005115878,2.18 
2022-12-08,102900005115984,0.02 
2022-12-08,102900005116257,4.90 
2022-12-08,102900005116530,9.31 
2022-12-08,102900005116714,4.94 
2022-12-08,102900005116790,1.42 
2022-12-08,102900005116806,2.00 
2022-12-08,102900005116837,6.62 
2022-12-08,102900005116899,3.88 
2022-12-08,102900005118817,3.60 
2022-12-08,102900005118831,2.07 
2022-12-08,102900005125815,6.99 
2022-12-08,102900011000328,3.46 
2022-12-08,102900011007044,2.58 
2022-12-08,102900011007464,8.20 
2022-12-08,102900011009277,2.70 
2022-12-08,102900011013274,4.72 
2022-12-08,102900011016701,1.68 
2022-12-08,102900011021842,7.00 
2022-12-08,102900011022849,1.10 
2022-12-08,102900011023464,4.80 
2022-12-08,102900011030059,2.05 
2022-12-08,102900011030097,1.92 
2022-12-08,102900011030134,0.61 
2022-12-08,102900011030141,0.80 
2022-12-08,102900011030912,2.30 
2022-12-08,102900011031100,1.19 
2022-12-08,102900011031216,4.11 
2022-12-08,102900011032022,0.62 
2022-12-08,102900011032213,1.19 
2022-12-08,102900011032237,0.75 
2022-12-08,102900011032244,2.35 
2022-12-08,102900011032251,0.48 
2022-12-08,102900011032848,1.35 
2022-12-08,102900011033906,0.54 
2022-12-08,102900011034026,1.61 
2022-12-08,102900011034231,1.82 
2022-12-08,102900011034330,3.47 
2022-12-08,102900011035788,0.10 
2022-12-08,106949711300259,2.92 
2022-12-09,102900005115878,2.18 
2022-12-09,102900005115977,13.59 
2022-12-09,102900005116257,4.91 
2022-12-09,102900005116509,6.46 
2022-12-09,102900005116530,9.49 
2022-12-09,102900005116714,4.73 
2022-12-09,102900005116790,1.42 
2022-12-09,102900005116806,2.00 
2022-12-09,102900005116837,6.79 
2022-12-09,102900005116899,3.78 
2022-12-09,102900005118817,3.60 
2022-12-09,102900005118831,2.36 
2022-12-09,102900005122654,7.40 
2022-12-09,102900005125815,6.98 
2022-12-09,102900011000328,3.47 
2022-12-09,102900011001813,0.01 
2022-12-09,102900011007044,2.60 
2022-12-09,102900011007464,8.15 
2022-12-09,102900011009277,2.70 
2022-12-09,102900011010891,6.75 
2022-12-09,102900011013274,4.75 
2022-12-09,102900011016701,1.78 
2022-12-09,102900011021842,7.00 
2022-12-09,102900011022849,1.10 
2022-12-09,102900011023464,4.80 
2022-12-09,102900011030059,2.01 
2022-12-09,102900011030097,2.00 
2022-12-09,102900011030134,0.61 
2022-12-09,102900011030141,0.80 
2022-12-09,102900011030912,2.63 
2022-12-09,102900011030929,1.58 
2022-12-09,102900011031100,1.14 
2022-12-09,102900011032022,0.61 
2022-12-09,102900011032213,1.22 
2022-12-09,102900011032237,0.78 
2022-12-09,102900011032244,2.30 
2022-12-09,102900011032251,1.26 
2022-12-09,102900011032848,1.20 
2022-12-09,102900011033906,0.53 
2022-12-09,102900011034026,1.74 
2022-12-09,102900011034231,1.88 
2022-12-09,102900011034330,3.45 
2022-12-09,106949711300259,2.94 
2022-12-10,102900005115878,2.20 
2022-12-10,102900005115977,13.59 
2022-12-10,102900005116257,5.17 
2022-12-10,102900005116509,6.59 
2022-12-10,102900005116530,9.49 
2022-12-10,102900005116714,4.48 
2022-12-10,102900005116790,0.89 
2022-12-10,102900005116806,2.00 
2022-12-10,102900005116837,6.92 
2022-12-10,102900005116899,3.69 
2022-12-10,102900005118817,3.60 
2022-12-10,102900005118831,2.17 
2022-12-10,102900005122654,7.40 
2022-12-10,102900005125815,6.96 
2022-12-10,102900011007044,2.59 
2022-12-10,102900011009277,2.69 
2022-12-10,102900011010891,6.75 
2022-12-10,102900011012482,5.50 
2022-12-10,102900011013274,4.73 
2022-12-10,102900011016701,1.81 
2022-12-10,102900011021842,7.00 
2022-12-10,102900011022849,1.10 
2022-12-10,102900011023464,4.80 
2022-12-10,102900011030059,2.01 
2022-12-10,102900011030097,2.00 
2022-12-10,102900011030134,0.61 
2022-12-10,102900011030141,0.79 
2022-12-10,102900011030905,1.36 
2022-12-10,102900011030912,2.72 
2022-12-10,102900011030929,1.57 
2022-12-10,102900011031100,0.99 
2022-12-10,102900011031926,2.95 
2022-12-10,102900011032022,0.59 
2022-12-10,102900011032213,1.22 
2022-12-10,102900011032237,0.51 
2022-12-10,102900011032244,2.46 
2022-12-10,102900011032251,1.37 
2022-12-10,102900011032848,1.20 
2022-12-10,102900011033906,0.45 
2022-12-10,102900011033920,1.71 
2022-12-10,102900011033944,6.15 
2022-12-10,102900011034026,1.66 
2022-12-10,102900011034231,2.01 
2022-12-10,102900011034330,3.45 
2022-12-10,102900011035078,6.27 
2022-12-10,102900011035511,3.85 
2022-12-10,102900011035764,4.58 
2022-12-10,102900011035771,3.08 
2022-12-10,102900011035788,2.06 
2022-12-10,106949711300259,3.01 
2022-12-11,102900005115878,2.22 
2022-12-11,102900005116257,5.43 
2022-12-11,102900005116509,6.60 
2022-12-11,102900005116530,10.00 
2022-12-11,102900005116714,4.56 
2022-12-11,102900005116806,1.93 
2022-12-11,102900005116837,6.76 
2022-12-11,102900005116899,3.70 
2022-12-11,102900005118817,3.14 
2022-12-11,102900005118831,2.16 
2022-12-11,102900005122654,7.40 
2022-12-11,102900005125815,6.96 
2022-12-11,102900011000328,3.46 
2022-12-11,102900011007044,2.60 
2022-12-11,102900011009277,2.62 
2022-12-11,102900011012482,5.50 
2022-12-11,102900011013274,4.73 
2022-12-11,102900011016701,1.78 
2022-12-11,102900011021842,7.00 
2022-12-11,102900011022849,1.10 
2022-12-11,102900011023464,4.80 
2022-12-11,102900011030059,2.18 
2022-12-11,102900011030097,1.88 
2022-12-11,102900011030134,0.60 
2022-12-11,102900011030141,0.78 
2022-12-11,102900011030905,0.68 
2022-12-11,102900011030912,3.01 
2022-12-11,102900011030929,1.50 
2022-12-11,102900011031100,1.04 
2022-12-11,102900011031926,2.98 
2022-12-11,102900011032022,0.61 
2022-12-11,102900011032213,1.22 
2022-12-11,102900011032237,0.71 
2022-12-11,102900011032244,2.22 
2022-12-11,102900011032251,1.37 
2022-12-11,102900011032848,1.20 
2022-12-11,102900011033906,0.51 
2022-12-11,102900011033920,1.71 
2022-12-11,102900011033944,6.89 
2022-12-11,102900011034026,1.68 
2022-12-11,102900011034224,1.46 
2022-12-11,102900011034231,2.08 
2022-12-11,102900011034330,3.45 
2022-12-11,102900011035078,5.64 
2022-12-11,102900011035511,3.85 
2022-12-11,102900011035764,4.58 
2022-12-11,102900011035771,3.66 
2022-12-11,102900011035788,2.05 
2022-12-11,106949711300259,3.01 
2022-12-12,102900005115878,2.22 
2022-12-12,102900005116257,5.43 
2022-12-12,102900005116509,6.60 
2022-12-12,102900005116530,10.00 
2022-12-12,102900005116714,4.77 
2022-12-12,102900005116806,1.58 
2022-12-12,102900005116837,4.84 
2022-12-12,102900005116899,3.57 
2022-12-12,102900005118817,2.96 
2022-12-12,102900005118831,2.18 
2022-12-12,102900005122654,6.79 
2022-12-12,102900011000328,3.47 
2022-12-12,102900011007464,8.16 
2022-12-12,102900011009277,2.41 
2022-12-12,102900011010891,6.76 
2022-12-12,102900011013274,4.73 
2022-12-12,102900011016701,1.68 
2022-12-12,102900011021842,7.00 
2022-12-12,102900011022849,1.10 
2022-12-12,102900011023464,4.80 
2022-12-12,102900011030059,2.39 
2022-12-12,102900011030097,1.72 
2022-12-12,102900011030134,0.63 
2022-12-12,102900011030141,0.78 
2022-12-12,102900011030912,2.90 
2022-12-12,102900011030929,1.50 
2022-12-12,102900011031100,1.18 
2022-12-12,102900011031926,3.00 
2022-12-12,102900011031995,0.01 
2022-12-12,102900011032022,0.71 
2022-12-12,102900011032213,1.23 
2022-12-12,102900011032237,0.69 
2022-12-12,102900011032244,2.22 
2022-12-12,102900011032251,1.37 
2022-12-12,102900011032848,1.20 
2022-12-12,102900011033906,0.53 
2022-12-12,102900011033920,1.66 
2022-12-12,102900011033944,7.04 
2022-12-12,102900011034026,1.89 
2022-12-12,102900011034224,1.50 
2022-12-12,102900011034231,2.07 
2022-12-12,102900011034330,3.46 
2022-12-12,102900011035078,5.65 
2022-12-12,102900011035511,0.21 
2022-12-12,102900011035764,4.58 
2022-12-12,102900011035771,3.67 
2022-12-12,106949711300259,3.01 
2022-12-13,102900005115625,3.00 
2022-12-13,102900005115878,2.22 
2022-12-13,102900005116257,5.43 
2022-12-13,102900005116509,6.60 
2022-12-13,102900005116530,10.00 
2022-12-13,102900005116547,0.01 
2022-12-13,102900005116714,4.79 
2022-12-13,102900005116806,1.60 
2022-12-13,102900005116837,4.88 
2022-12-13,102900005116899,3.53 
2022-12-13,102900005118817,2.60 
2022-12-13,102900005118831,2.21 
2022-12-13,102900011000571,1.20 
2022-12-13,102900011007464,8.17 
2022-12-13,102900011010891,6.76 
2022-12-13,102900011012482,5.40 
2022-12-13,102900011013274,4.72 
2022-12-13,102900011016701,1.79 
2022-12-13,102900011021842,7.00 
2022-12-13,102900011022849,1.10 
2022-12-13,102900011023464,4.80 
2022-12-13,102900011030059,2.48 
2022-12-13,102900011030097,1.72 
2022-12-13,102900011030134,0.63 
2022-12-13,102900011030141,0.75 
2022-12-13,102900011030912,2.86 
2022-12-13,102900011030929,1.50 
2022-12-13,102900011031100,1.20 
2022-12-13,102900011031926,2.98 
2022-12-13,102900011032022,0.71 
2022-12-13,102900011032213,1.34 
2022-12-13,102900011032237,0.69 
2022-12-13,102900011032244,2.22 
2022-12-13,102900011032251,1.32 
2022-12-13,102900011032732,0.01 
2022-12-13,102900011032848,1.20 
2022-12-13,102900011033906,0.57 
2022-12-13,102900011033920,1.50 
2022-12-13,102900011033944,7.09 
2022-12-13,102900011033982,1.88 
2022-12-13,102900011034026,1.88 
2022-12-13,102900011034224,1.58 
2022-12-13,102900011034231,2.03 
2022-12-13,102900011034330,3.47 
2022-12-13,102900011035078,5.66 
2022-12-13,102900011035511,0.01 
2022-12-13,102900011035764,4.58 
2022-12-13,102900011035771,3.67 
2022-12-13,106949711300259,3.01 
2022-12-14,102900005115625,3.00 
2022-12-14,102900005115878,2.22 
2022-12-14,102900005116257,5.51 
2022-12-14,102900005116509,6.59 
2022-12-14,102900005116530,10.00 
2022-12-14,102900005116547,15.00 
2022-12-14,102900005116714,4.89 
2022-12-14,102900005116806,1.60 
2022-12-14,102900005116837,4.87 
2022-12-14,102900005116899,3.53 
2022-12-14,102900005118817,2.64 
2022-12-14,102900005118831,2.20 
2022-12-14,102900005122654,6.99 
2022-12-14,102900011000571,1.20 
2022-12-14,102900011007044,2.61 
2022-12-14,102900011009277,2.40 
2022-12-14,102900011010891,6.76 
2022-12-14,102900011012482,5.30 
2022-12-14,102900011013274,4.77 
2022-12-14,102900011016701,1.83 
2022-12-14,102900011021842,7.00 
2022-12-14,102900011022849,1.10 
2022-12-14,102900011023464,4.80 
2022-12-14,102900011027479,3.11 
2022-12-14,102900011030059,2.15 
2022-12-14,102900011030097,1.88 
2022-12-14,102900011030134,0.59 
2022-12-14,102900011030141,0.74 
2022-12-14,102900011030912,3.05 
2022-12-14,102900011030929,1.51 
2022-12-14,102900011031100,1.15 
2022-12-14,102900011031926,3.12 
2022-12-14,102900011032022,0.71 
2022-12-14,102900011032213,1.46 
2022-12-14,102900011032237,0.76 
2022-12-14,102900011032244,2.38 
2022-12-14,102900011032251,1.12 
2022-12-14,102900011032350,4.80 
2022-12-14,102900011032848,1.20 
2022-12-14,102900011033906,0.61 
2022-12-14,102900011033920,1.50 
2022-12-14,102900011033937,5.80 
2022-12-14,102900011033944,7.01 
2022-12-14,102900011033968,12.00 
2022-12-14,102900011034026,1.93 
2022-12-14,102900011034224,1.57 
2022-12-14,102900011034231,2.02 
2022-12-14,102900011034330,3.55 
2022-12-14,102900011035078,5.66 
2022-12-14,102900011035511,3.38 
2022-12-14,102900011035764,4.75 
2022-12-14,102900011035771,3.66 
2022-12-14,106949711300259,3.01 
2022-12-15,102900005115878,2.22 
2022-12-15,102900005115960,2.00 
2022-12-15,102900005116257,5.67 
2022-12-15,102900005116509,6.62 
2022-12-15,102900005116530,10.00 
2022-12-15,102900005116547,15.00 
2022-12-15,102900005116714,4.93 
2022-12-15,102900005116806,1.60 
2022-12-15,102900005116837,4.57 
2022-12-15,102900005116899,3.47 
2022-12-15,102900005118817,2.48 
2022-12-15,102900005118831,2.20 
2022-12-15,102900005122654,7.59 
2022-12-15,102900011000571,1.20 
2022-12-15,102900011007044,2.61 
2022-12-15,102900011010891,6.76 
2022-12-15,102900011012482,5.20 
2022-12-15,102900011013274,4.77 
2022-12-15,102900011016701,1.67 
2022-12-15,102900011021842,7.00 
2022-12-15,102900011022849,1.31 
2022-12-15,102900011023464,4.80 
2022-12-15,102900011030059,1.94 
2022-12-15,102900011030097,2.30 
2022-12-15,102900011030134,0.59 
2022-12-15,102900011030141,0.74 
2022-12-15,102900011030912,3.04 
2022-12-15,102900011030929,1.50 
2022-12-15,102900011031100,1.15 
2022-12-15,102900011031926,3.03 
2022-12-15,102900011032022,0.53 
2022-12-15,102900011032237,0.81 
2022-12-15,102900011032244,2.26 
2022-12-15,102900011032251,1.11 
2022-12-15,102900011032350,5.19 
2022-12-15,102900011032848,1.20 
2022-12-15,102900011033906,0.58 
2022-12-15,102900011033920,1.58 
2022-12-15,102900011033937,5.80 
2022-12-15,102900011033944,6.74 
2022-12-15,102900011033982,5.60 
2022-12-15,102900011034026,2.00 
2022-12-15,102900011034224,1.53 
2022-12-15,102900011034231,1.97 
2022-12-15,102900011034330,3.48 
2022-12-15,102900011034439,2.10 
2022-12-15,102900011035078,5.84 
2022-12-15,102900011035511,3.39 
2022-12-15,102900011035771,3.67 
2022-12-15,102900051010455,10.00 
2022-12-15,106949711300259,3.02 
2022-12-16,102900005115250,14.01 
2022-12-16,102900005115625,2.99 
2022-12-16,102900005115878,2.43 
2022-12-16,102900005115977,13.73 
2022-12-16,102900005116257,5.47 
2022-12-16,102900005116509,6.59 
2022-12-16,102900005116530,10.05 
2022-12-16,102900005116547,15.02 
2022-12-16,102900005116714,4.99 
2022-12-16,102900005116806,1.60 
2022-12-16,102900005116837,4.68 
2022-12-16,102900005116899,3.25 
2022-12-16,102900005118831,2.18 
2022-12-16,102900011007044,2.68 
2022-12-16,102900011009277,2.40 
2022-12-16,102900011013274,4.78 
2022-12-16,102900011016701,1.67 
2022-12-16,102900011021842,7.00 
2022-12-16,102900011022849,1.13 
2022-12-16,102900011023464,4.80 
2022-12-16,102900011030059,1.88 
2022-12-16,102900011030097,2.17 
2022-12-16,102900011030141,0.74 
2022-12-16,102900011030912,3.04 
2022-12-16,102900011030929,1.49 
2022-12-16,102900011031100,1.12 
2022-12-16,102900011031926,3.03 
2022-12-16,102900011031995,1.52 
2022-12-16,102900011032022,0.53 
2022-12-16,102900011032244,2.14 
2022-12-16,102900011032251,1.13 
2022-12-16,102900011032350,5.20 
2022-12-16,102900011032848,1.20 
2022-12-16,102900011033906,0.59 
2022-12-16,102900011033920,1.52 
2022-12-16,102900011033937,5.81 
2022-12-16,102900011033944,7.09 
2022-12-16,102900011034026,1.99 
2022-12-16,102900011034224,1.50 
2022-12-16,102900011034231,1.79 
2022-12-16,102900011034330,3.50 
2022-12-16,102900011034439,2.10 
2022-12-16,102900011035078,5.65 
2022-12-16,102900011035511,3.38 
2022-12-16,102900011035771,3.70 
2022-12-16,106949711300259,3.02 
2022-12-17,102900005115250,14.01 
2022-12-17,102900005115625,3.00 
2022-12-17,102900005115823,2.39 
2022-12-17,102900005115878,2.50 
2022-12-17,102900005115977,13.73 
2022-12-17,102900005116257,5.41 
2022-12-17,102900005116509,6.57 
2022-12-17,102900005116530,11.00 
2022-12-17,102900005116714,5.11 
2022-12-17,102900005116806,1.60 
2022-12-17,102900005116837,4.98 
2022-12-17,102900005116899,3.11 
2022-12-17,102900005118817,2.44 
2022-12-17,102900005118831,2.12 
2022-12-17,102900005122654,8.70 
2022-12-17,102900011000328,3.46 
2022-12-17,102900011000571,1.20 
2022-12-17,102900011007044,2.73 
2022-12-17,102900011007471,10.29 
2022-12-17,102900011008164,4.20 
2022-12-17,102900011009277,2.46 
2022-12-17,102900011012482,5.20 
2022-12-17,102900011013274,4.70 
2022-12-17,102900011016701,1.77 
2022-12-17,102900011021842,7.00 
2022-12-17,102900011022849,1.10 
2022-12-17,102900011023464,4.80 
2022-12-17,102900011030097,2.02 
2022-12-17,102900011030134,0.85 
2022-12-17,102900011030141,0.78 
2022-12-17,102900011030912,3.03 
2022-12-17,102900011030929,1.52 
2022-12-17,102900011031100,1.09 
2022-12-17,102900011032022,0.45 
2022-12-17,102900011032213,1.45 
2022-12-17,102900011032244,2.14 
